2026-05-13 05:19:03,229 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:19:03,235 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:19:09,212 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 1.3186 (Pred:0.0058, Phy:0.0018, Recon:0.0000, Lin:0.0298, Delta:0.5197) | Val Loss: 0.0051 | Mem: 112MB (1.4%) | Pwr: [Pwr Error]
2026-05-13 05:19:14,422 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.1064 (Pred:0.0008, Phy:0.0000, Recon:0.0000, Lin:0.0014, Delta:0.0572) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:19,600 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.0682 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0006, Delta:0.0390) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:24,892 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.0630 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0004, Delta:0.0384) | Val Loss: 0.0023 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:30,144 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0591 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0003, Delta:0.0368) | Val Loss: 0.0006 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:34,527 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0580 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0366) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:38,835 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0576 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0367) | Val Loss: 0.0008 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:43,106 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0557 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0356) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:47,659 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0549 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0352) | Val Loss: 0.0007 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:52,710 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0550 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0353) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:19:58,112 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0542 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0347) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:03,585 - INFO - Epoch [012/150] | LR: 0.001000 | Loss: 0.0549 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0353) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:08,214 - INFO - Epoch [013/150] | LR: 0.001000 | Loss: 0.0542 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0350) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:12,842 - INFO - Epoch [014/150] | LR: 0.001000 | Loss: 0.0539 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0348) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:17,590 - INFO - Epoch [015/150] | LR: 0.001000 | Loss: 0.0540 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:22,345 - INFO - Epoch [016/150] | LR: 0.001000 | Loss: 0.0531 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0344) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:26,789 - INFO - Epoch [017/150] | LR: 0.001000 | Loss: 0.0536 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0346) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:31,168 - INFO - Epoch [018/150] | LR: 0.001000 | Loss: 0.0533 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0344) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:35,569 - INFO - Epoch [019/150] | LR: 0.001000 | Loss: 0.0536 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:39,874 - INFO - Epoch [020/150] | LR: 0.001000 | Loss: 0.0528 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0341) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:44,120 - INFO - Epoch [021/150] | LR: 0.001000 | Loss: 0.0531 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0344) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:48,387 - INFO - Epoch [022/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:52,711 - INFO - Epoch [023/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:57,036 - INFO - Epoch [024/150] | LR: 0.001000 | Loss: 0.0527 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0341) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:01,347 - INFO - Epoch [025/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:05,674 - INFO - Epoch [026/150] | LR: 0.001000 | Loss: 0.0532 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0345) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:10,895 - INFO - Epoch [027/150] | LR: 0.001000 | Loss: 0.0528 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0343) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:16,253 - INFO - Epoch [028/150] | LR: 0.001000 | Loss: 0.0528 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0341) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:21,215 - INFO - Epoch [029/150] | LR: 0.001000 | Loss: 0.0532 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0345) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:25,648 - INFO - Epoch [030/150] | LR: 0.000500 | Loss: 0.0531 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0344) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:30,168 - INFO - Epoch [031/150] | LR: 0.000500 | Loss: 0.0510 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0333) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:34,734 - INFO - Epoch [032/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
