2026-05-13 06:27:50,077 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 06:27:50,083 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 06:27:57,693 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 34.6964 (PhyAcc:1.9005, Lin:0.4111) | Val Acc Loss: 0.4922 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:04,480 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.1736 (PhyAcc:0.0077, Lin:0.0068) | Val Acc Loss: 0.2084 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:11,298 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.1419 (PhyAcc:0.0058, Lin:0.0053) | Val Acc Loss: 0.1844 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:17,862 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.1047 (PhyAcc:0.0039, Lin:0.0042) | Val Acc Loss: 0.2035 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:24,661 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0972 (PhyAcc:0.0039, Lin:0.0036) | Val Acc Loss: 0.1834 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:31,330 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0809 (PhyAcc:0.0046, Lin:0.0029) | Val Acc Loss: 0.1592 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:38,195 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0876 (PhyAcc:0.0028, Lin:0.0028) | Val Acc Loss: 0.1628 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:44,996 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0859 (PhyAcc:0.0033, Lin:0.0025) | Val Acc Loss: 0.1410 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:52,195 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0697 (PhyAcc:0.0028, Lin:0.0021) | Val Acc Loss: 0.1406 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:28:59,007 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0715 (PhyAcc:0.0021, Lin:0.0020) | Val Acc Loss: 0.1297 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:05,953 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0579 (PhyAcc:0.0013, Lin:0.0017) | Val Acc Loss: 0.1319 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:12,770 - INFO - Epoch [012/150] | LR: 0.001000 | Loss: 0.0591 (PhyAcc:0.0027, Lin:0.0015) | Val Acc Loss: 0.1117 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:19,718 - INFO - Epoch [013/150] | LR: 0.001000 | Loss: 0.0654 (PhyAcc:0.0021, Lin:0.0015) | Val Acc Loss: 0.0945 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:26,860 - INFO - Epoch [014/150] | LR: 0.001000 | Loss: 0.0620 (PhyAcc:0.0013, Lin:0.0014) | Val Acc Loss: 0.0902 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:33,721 - INFO - Epoch [015/150] | LR: 0.001000 | Loss: 0.0507 (PhyAcc:0.0022, Lin:0.0011) | Val Acc Loss: 0.0826 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:40,970 - INFO - Epoch [016/150] | LR: 0.001000 | Loss: 0.0438 (PhyAcc:0.0023, Lin:0.0010) | Val Acc Loss: 0.0631 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:48,599 - INFO - Epoch [017/150] | LR: 0.001000 | Loss: 0.0460 (PhyAcc:0.0014, Lin:0.0010) | Val Acc Loss: 0.0704 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:29:56,562 - INFO - Epoch [018/150] | LR: 0.001000 | Loss: 0.0446 (PhyAcc:0.0018, Lin:0.0009) | Val Acc Loss: 0.0598 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:04,445 - INFO - Epoch [019/150] | LR: 0.001000 | Loss: 0.0418 (PhyAcc:0.0019, Lin:0.0008) | Val Acc Loss: 0.0496 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:12,152 - INFO - Epoch [020/150] | LR: 0.001000 | Loss: 0.0500 (PhyAcc:0.0018, Lin:0.0009) | Val Acc Loss: 0.0588 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:19,246 - INFO - Epoch [021/150] | LR: 0.001000 | Loss: 0.0322 (PhyAcc:0.0022, Lin:0.0006) | Val Acc Loss: 0.0522 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:26,073 - INFO - Epoch [022/150] | LR: 0.001000 | Loss: 0.0373 (PhyAcc:0.0015, Lin:0.0007) | Val Acc Loss: 0.0419 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:32,733 - INFO - Epoch [023/150] | LR: 0.001000 | Loss: 0.0419 (PhyAcc:0.0008, Lin:0.0007) | Val Acc Loss: 0.0401 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:39,493 - INFO - Epoch [024/150] | LR: 0.001000 | Loss: 0.0398 (PhyAcc:0.0011, Lin:0.0007) | Val Acc Loss: 0.0410 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:46,249 - INFO - Epoch [025/150] | LR: 0.001000 | Loss: 0.0368 (PhyAcc:0.0014, Lin:0.0006) | Val Acc Loss: 0.0430 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:53,142 - INFO - Epoch [026/150] | LR: 0.001000 | Loss: 0.0336 (PhyAcc:0.0014, Lin:0.0005) | Val Acc Loss: 0.0376 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:30:59,936 - INFO - Epoch [027/150] | LR: 0.001000 | Loss: 0.0331 (PhyAcc:0.0005, Lin:0.0006) | Val Acc Loss: 0.0321 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:06,775 - INFO - Epoch [028/150] | LR: 0.001000 | Loss: 0.0436 (PhyAcc:0.0009, Lin:0.0007) | Val Acc Loss: 0.0347 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:13,637 - INFO - Epoch [029/150] | LR: 0.001000 | Loss: 0.0336 (PhyAcc:0.0010, Lin:0.0005) | Val Acc Loss: 0.0420 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:20,501 - INFO - Epoch [030/150] | LR: 0.000500 | Loss: 0.0323 (PhyAcc:0.0020, Lin:0.0004) | Val Acc Loss: 0.0541 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:27,377 - INFO - Epoch [031/150] | LR: 0.000500 | Loss: 0.0095 (PhyAcc:0.0005, Lin:0.0003) | Val Acc Loss: 0.0316 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:34,132 - INFO - Epoch [032/150] | LR: 0.000500 | Loss: 0.0101 (PhyAcc:0.0005, Lin:0.0003) | Val Acc Loss: 0.0316 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:40,772 - INFO - Epoch [033/150] | LR: 0.000500 | Loss: 0.0093 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0278 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:47,526 - INFO - Epoch [034/150] | LR: 0.000500 | Loss: 0.0084 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0259 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:31:54,253 - INFO - Epoch [035/150] | LR: 0.000500 | Loss: 0.0108 (PhyAcc:0.0003, Lin:0.0003) | Val Acc Loss: 0.0215 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:32:00,896 - INFO - Epoch [036/150] | LR: 0.000500 | Loss: 0.0125 (PhyAcc:0.0001, Lin:0.0003) | Val Acc Loss: 0.0202 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:32:07,673 - INFO - Epoch [037/150] | LR: 0.000500 | Loss: 0.0098 (PhyAcc:0.0002, Lin:0.0002) | Val Acc Loss: 0.0192 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
